id;nuts;region;country;suitability_class_mean;suitability_class_max;suitability_class_min
97;FR42;Alsace;France; 4,48 ; 7 ; 2 
98;FR43;Franche-Comté;France; 3,65 ; 7 ; 2 
99;FR51;Pays de la Loire;France; 4,17 ; 8 ; 2 
100;FR52;Bretagne;France; 3,52 ; 7 ; 2 
101;FR53;Poitou-Charentes;France; 3,92 ; 7 ; 2 
102;FR61;Aquitaine;France; 4,75 ; 10 ; 2 
103;FR62;Midi-Pyrénées;France; 4,51 ; 9 ; 2 
104;FR63;Limousin;France; 4,58 ; 6 ; 3 
105;FR71;Rhône-Alpes;France; 5,34 ; 10 ; 2 
106;FR72;Auvergne;France; 4,37 ; 7 ; 2 
107;FR81;Languedoc-Roussillon;France; 5,35 ; 9 ; 2 
108;FR82;Provence-Alpes-Côte d'Azur;France; 5,39 ; 10 ; 2 
109;FR83;Corse;France; 5,77 ; 8 ; 2 
110;IE0;Ireland;IRELAND; 5,60 ; 10 ; 3 
111;ITC1;Piemonte;Italy; 5,76 ; 10 ; 2 
112;ITC2;Valle dAosta/Vallée dAoste;Italy; 8,53 ; 9 ; 7 
113;ITC3;Liguria;Italy; 6,70 ; 8 ; 5 
114;ITC4;Lombardia;Italy; 5,28 ; 10 ; 2 
115;ITF1;Abruzzo;Italy; 6,00 ; 9 ; 2 
116;ITF2;Molise;Italy; 6,32 ; 7 ; 4 
117;ITF3;Campania;Italy; 6,10 ; 8 ; 3 
118;ITF4;Puglia;Italy; 4,87 ; 10 ; 2 
119;ITF5;Basilicata;Italy; 5,80 ; 7 ; 3 
120;ITF6;Calabria;Italy; 5,75 ; 7 ; 3 
121;ITG1;Sicilia;Italy; 5,35 ; 9 ; 3 
122;ITG2;Sardegna;Italy; 6,12 ; 8 ; 3 
123;ITH1+ITH2;Provincia Autonoma di Bolzano/Bozen-Provincia Autonoma di Trento;Italy; 8,38 ; 9 ; 5 
124;ITH3;Veneto;Italy; 5,19 ; 10 ; 2 
125;ITH4;Friuli-Venezia Giulia;Italy; 5,94 ; 9 ; 2 
126;ITH5;Emilia-Romagna;Italy; 4,73 ; 10 ; 2 
127;ITI1;Toscana;Italy; 5,24 ; 8 ; 2 
128;ITI2;Umbria;Italy; 5,64 ; 10 ; 3 
129;ITI3;Marche;Italy; 5,58 ; 8 ; 4 
130;ITI4;Lazio;Italy; 5,89 ; 10 ; 2 
131;LU00;Luxembourg (state);LUXEMBOURG; 4,92 ; 7 ; 4 
132;NL11;Groningen;Netherlands; 5,94 ; 6 ; 5 
133;NL12;Friesland;Netherlands; 5,84 ; 9 ; 5 
134;NL13;Drenthe;Netherlands; 5,96 ; 6 ; 5 
135;NL21;Overijssel;Netherlands; 5,69 ; 7 ; 5 
136;NL22;Gelderland;Netherlands; 5,13 ; 6 ; 4 
137;NL23;Flevoland (1960 - );Netherlands; 5,20 ; 6 ; 5 
138;NL31;Utrecht;Netherlands; 5,33 ; 6 ; 4 
139;NL32;Noordholland;Netherlands; 5,77 ; 9 ; 4 
140;NL33;Zuidholland;Netherlands; 5,53 ; 7 ; 5 
141;NL34;Zeeland;Netherlands; 5,03 ; 6 ; 5 
142;NL41;Noordbrabant;Netherlands; 5,52 ; 6 ; 4 
143;NL42;Limburg;Netherlands; 4,79 ; 6 ; 3 
144;NO01;Oslo og Akershus;Norway; 6,49 ; 10 ; 5 
145;NO02;Hedmark og Oppland;Norway; 8,51 ; 10 ; 3 
146;NO03;Sør-Østlandet;Norway; 7,81 ; 10 ; 5 
147;NO04;Agder og Rogaland;Norway; 7,55 ; 9 ; 6 
148;NO05;Vestlandet;Norway; 8,64 ; 9 ; 6 
149;NO06;Trøndelag;Norway; 8,84 ; 10 ; 6 
150;NO07;Nord-Norge;Norway; 9,00 ; 10 ; 7 
151;PT11;Norte;Portugal; 6,73 ; 8 ; 5 
152;PT15;Algarve;Portugal; 4,94 ; 7 ; 3 
153;PT16;Centro;Portugal; 6,06 ; 8 ; 3 
154;PT17;Lisboa;Portugal; 5,36 ; 7 ; 4 
155;PT18;Alentejo;Portugal; 5,32 ; 10 ; 3 
156;SE11;Stockholm;Sweden; 5,54 ; 10 ; 5 
157;SE12;Östra Mellansverige;Sweden; 5,84 ; 10 ; 3 
158;SE21;Småland med öarna;Sweden; 5,72 ; 10 ; 3 
159;SE22;Sydsverige;Sweden; 3,95 ; 6 ; 2 
160;SE23;Västsverige;Sweden; 6,03 ; 10 ; 5 
161;SE31;Norra Mellansverige;Sweden; 7,24 ; 10 ; 5 
162;SE32;Mellersta Norrland;Sweden; 8,51 ; 10 ; 6 
163;SE33;Övre Norrland;Sweden; 8,57 ; 10 ; 6 
164;UKC+UKD;North;United Kingdom; 5,85 ; 9 ; 4 
165;UKE;Yorks  & Humberside;United Kingdom; 5,61 ; 8 ; 3 
166;UKF;East  Midlands;United Kingdom; 5,49 ; 8 ; 3 
167;UKG;West Midlands;United Kingdom; 5,29 ; 9 ; 3 
168;UKH+UKJ;Rest of SouthEast;United Kingdom; 4,73 ; 8 ; 2 
169;UKI;London Counties;United Kingdom; 8,04 ; 9 ; 6 
170;UKK;SouthWest;United Kingdom; 5,48 ; 8 ; 3 
171;UKL;Wales;United Kingdom; 6,19 ; 9 ; 4 
172;UKM;Scotland;United Kingdom; 6,99 ; 9 ; 2 
173;UKN;Northern Ireland;United Kingdom; 5,91 ; 10 ; 4 
